"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012030221","3","away",FALSE,"OT","John Tortorella",2,35,44,8,3,0,44.8,17,7
"2012030221","6","home",TRUE,"OT","Claude Julien",3,48,51,6,4,1,55.2,4,5
"2012030222","3","away",FALSE,"REG","John Tortorella",2,37,33,11,5,0,51.7,1,4
"2012030222","6","home",TRUE,"REG","Claude Julien",5,32,36,19,1,0,48.3,16,6
"2012030223","6","away",TRUE,"REG","Claude Julien",2,34,28,6,0,0,61.8,10,7
"2012030223","3","home",FALSE,"REG","John Tortorella",1,24,37,2,2,0,38.2,7,9
"2012030224","6","away",FALSE,"OT","Claude Julien",3,40,24,8,4,2,53.7,8,6
"2012030224","3","home",TRUE,"OT","John Tortorella",4,32,40,8,4,1,46.3,9,7
"2015030133","15","away",TRUE,"REG","Barry Trotz",6,27,26,14,9,5,44.1,5,10
"2015030133","4","home",FALSE,"REG","Dave Hakstol",1,32,45,53,5,0,55.9,17,2
"2015030134","15","away",FALSE,"REG","Barry Trotz",1,32,38,4,2,0,51.8,11,9
"2015030134","4","home",TRUE,"REG","Dave Hakstol",2,25,43,4,2,1,48.2,12,5
"2015030135","4","away",TRUE,"REG","Dave Hakstol",2,11,17,13,6,0,47.2,5,3
"2015030135","15","home",FALSE,"REG","Barry Trotz",0,44,35,19,3,0,52.8,4,7
"2015030136","15","away",TRUE,"REG","Barry Trotz",1,29,32,6,5,0,40.7,13,10
"2015030136","4","home",FALSE,"REG","Dave Hakstol",0,26,38,10,3,0,59.3,14,7
